1,"There are four roots of all things:","bright Zeus, life-giving Hera, Aidoneus",,,,,,,,
2,"and Nestis, who moistens","the wells of mortals with her tears.",,,,,,,,
3,"The interplay of these elements","constitutes the world,",,,,,,,,
4,"and their actions flow in eternity","as a circular course from shore to shore",,,,,,,,
5,"in two periods of fullness,","the realm of hatred and that of love.",,,,,,,,
6,"","",,,,,,,,
7,"I will tell you now about the fire of the sun","that shines on all things visible;",,,,,,,,
8,"earth, billowy sea, damp mist and Love,","binding all things in its embrace.",,,,,,,,
9,"Fixed around this enormous formation","of harmony, in the beginning,",,,,,,,,
10,"is a sphere,","rejoicing in complete solitude.",,,,,,,,
11,"","Then Strife approaches,",,,,,,,,
12,"nurtured within the four elements","that are driven on by a mighty oath.",,,,,,,,
13,"","",,,,,,,,
14,"Rage breaks the bonds of love","which hold the sphere captive,",,,,,,,,
15,"and a rift opens in the world's closed vessel","which is yet again filled with hatred.",,,,,,,,
16,"The air starts to move","and the sun burns the sweating ground.",,,,,,,,
17,"The oceans rise. Life's furrow is dug","by the ploughshare of love.",,,,,,,,
18,"The combined pressure","of the rivaling forces creates a vortex",,,,,,,,
19,"","and the elements are mixed.",,,,,,,,
20,"","",,,,,,,,
21,"Behold the sun, the hot flame of fire","raging on both sides of its orb,",,,,,,,,
22,"observe the wind","that moves the clouds,",,,,,,,,
23,"behold the raincloud filled with water,","dark and cold on both sides,",,,,,,,,
24,"and see the earth that gathers","all forms and solid bodies.",,,,,,,,
25,"See how they fight out of desire","for love, equal in strength.",,,,,,,,
26,"","",,,,,,,,
27,"Born first from the roots","of all things are plants,",,,,,,,,
28,"which are closest to the unity of the sphere,","for the sexes in them are still united.",,,,,,,,
29,"Then trees and wild beasts that have left the sea","from their lives as fish and lizard.",,,,,,,,
30,"Birds and gods leave the earth","for a life in heaven.",,,,,,,,
31,"Like a painter who blends his precious","colours to produce likenesses of all things,",,,,,,,,
32,"Love, through the four","combinations of the elements,",,,,,,,,
33,"creates the world's","endless variety.",,,,,,,,
34,"There is neither birth nor death","of any mortal thing,",,,,,,,,
35,"but only the mixing","and separation of substances.",,,,,,,,
36,"There is no age, no before","or after in this circle.",,,,,,,,
37,"Nothing is transient,","but is forever recurring.",,,,,,,,
38,"","",,,,,,,,
39,"Love and Strife","are the principles",,,,,,,,
40,"that either hold together or fill","the space between the four elements.",,,,,,,,
41,"As soon as Strife has reached","the centre of the vortex of love",,,,,,,,
42,"and gathered living","from what we have seen as dead,",,,,,,,,
43,"it departs just as quickly","to the outermost boundaries of the circle.",,,,,,,,
44,"In this way, all things have","power of thought and of choice.",,,,,,,,
45,"How, otherwise, would life","once have originated?",,,,,,,,
46,"","",,,,,,,,
47,"But from you, my sweet beloved,","this heart will have peace and solace.",,,,,,,,
48,"","",,,,,,,,
49,"Your beautiful sweet eyes are the stars","by which love guides me to the harbour.",,,,,,,,
50,"","",,,,,,,,
51,"But from you, my sweet beloved,","this heart will have peace and solace.",,,,,,,,
52,"","",,,,,,,,
53,"My fingers are as rough as crocodile skin;","they have a stench about them as of milt.",,,,,,,,
54,"If poverty is plainness but well-being,","I choose it over abundance and melancholy.",,,,,,,,
55,"","",,,,,,,,
56,"I must succeed with my experiments soon","if I'm to pay off all my debts.",,,,,,,,
57,"They keep me under close watch,","throw suspicion on my work",,,,,,,,
58,"","and are stingy with payments.",,,,,,,,
59,"They threaten me with the bailiffs","and have already taken all my furniture.",,,,,,,,
60,"I must keep the furnaces burning","and coal costs money.",,,,,,,,
61,"Now I must use fire wood and the smoke","makes me cough and feel dizzy.",,,,,,,,
62,"","",,,,,,,,
63,"Gold will free mankind","from the bonds of the tyranny of money.",,,,,,,,
64,"Only a few line their pockets","at the useful mob's expense.",,,,,,,,
65,"We have inherited a world","of tyrants and slaves.",,,,,,,,
66,"The root of all evil","is selfishness and greed.",,,,,,,,
67,"Each and everyone believes only","in what lies closest to himself,",,,,,,,,
